Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,14.5,19479,8,Y,Yes,11,3,1,80,0,8.0,0,1,6.0,4.0,0.0,5
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,14.5,24907,1,Y,No,23,4,4,80,1,10.0,3,3,10.0,7.0,1.0,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,14.5,2396,6,Y,Yes,15,3,2,80,0,7.0,3,3,0.0,0.0,0.0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,14.5,23159,1,Y,Yes,11,3,3,80,0,8.0,3,3,8.0,7.0,3.0,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,14.5,16632,9,Y,No,12,3,4,80,1,6.0,3,3,2.0,2.0,2.0,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,14.5,11864,0,Y,No,13,3,3,80,0,8.0,2,2,7.0,7.0,3.0,6
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,14.5,9964,4,Y,Yes,20,4,1,80,3,12.0,3,2,1.0,0.0,0.0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,14.5,13335,1,Y,No,22,4,2,80,1,1.0,2,3,1.0,0.0,0.0,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,14.5,8787,0,Y,No,21,4,2,80,0,10.0,2,3,9.0,7.0,1.0,8
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,14.5,16577,6,Y,No,13,3,2,80,2,14.5,3,2,7.0,7.0,7.0,7
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,14.5,16479,0,Y,No,13,3,3,80,1,6.0,5,3,5.0,4.0,0.0,3
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,14.5,12682,0,Y,Yes,12,3,4,80,0,10.0,3,3,9.0,5.0,0.0,8
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,14.5,15170,1,Y,No,17,3,4,80,1,5.0,1,2,5.0,2.0,4.0,3
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,14.5,8758,0,Y,No,11,3,3,80,1,3.0,2,3,2.0,2.0,1.0,2
